epoch,mean_miou,std_miou,num_seeds
1,32.2894,1.3607513512761988,5
2,35.419000000000004,1.020938000076399,5
3,37.0088,2.819987900683264,5
4,41.6298,1.8251404767852801,5
5,42.708600000000004,3.7353431221241253,5
6,44.032199999999996,3.464623004022226,5
7,45.3054,1.523781821652956,5
8,44.3672,2.429170261632561,5
9,44.939,1.1186554429313775,5
10,45.141799999999996,1.8848861397973085,5
11,44.7442,1.1888583431174644,5
12,44.7992,1.1144823731221591,5
13,44.748599999999996,0.6075437762005287,5
14,44.986,0.7198188661045225,5
15,44.807,0.8235663907664019,5
16,44.7606,1.2501140108006157,5
17,44.0638,1.2910961854176475,5
18,44.8218,0.9195643316266683,5
19,44.5158,0.8526296734221721,5
20,43.6892,1.5535324135659363,5
21,44.5866,1.1071008264832967,5
22,43.372400000000006,1.4094222362372455,5
23,44.0436,1.5820029835622937,5
24,44.6206,0.827414188904202,5
25,43.8592,1.3543078527425003,5
26,43.822199999999995,1.149815185149335,5
27,42.826800000000006,1.2437876667663164,5
28,43.663,1.016041731426422,5
29,43.939,1.2541749479239332,5
30,43.1274,1.5047452408962776,5
