epoch,mean_miou,std_miou,num_seeds
1,27.5416,1.5450132167719477,5
2,30.314999999999998,2.1343138475866184,5
3,32.3986,3.286816611860174,5
4,35.1822,2.6097827802328695,5
5,36.974599999999995,3.522069993625908,5
6,37.7888,3.2282640164645766,5
7,38.7106,2.52006726894343,5
8,38.2706,3.310770339362125,5
9,38.55899999999999,2.0653403593596877,5
10,38.845000000000006,2.750797338954654,5
11,38.3144,2.00421791230395,5
12,38.763400000000004,2.1495357266163313,5
13,38.443799999999996,1.3329803299373917,5
14,38.5652,1.2142351337364619,5
15,38.1808,0.6734393513895671,5
16,38.3774,1.645562347648972,5
17,37.9088,1.9436643125807502,5
18,38.535399999999996,1.4148850978083007,5
19,38.290400000000005,1.070637118728844,5
20,37.7826,1.1130584171551836,5
21,38.50359999999999,1.353497484297624,5
22,37.5724,2.060993022792654,5
23,38.0932,2.2552349234614115,5
24,37.8922,1.759705816322717,5
25,37.471999999999994,1.5785898770738378,5
26,37.364999999999995,1.498165411428256,5
27,36.6628,1.0312131496446313,5
28,37.3116,1.3528443517271307,5
29,37.279399999999995,1.3860482819873199,5
30,36.963,1.686765543873836,5
