epoch,mean_miou,std_miou,num_seeds
1,26.873399999999997,1.9154761914469218,5
2,29.865,2.2917469319276953,5
3,33.063399999999994,2.7554163097434117,5
4,34.203199999999995,2.7674337860190983,5
5,36.4514,2.9451228565205896,5
6,37.7806,2.6915057941605856,5
7,38.6696,2.157301054558684,5
8,38.738,2.425628413421973,5
9,38.82020000000001,2.3819821493873534,5
10,39.1828,2.4268516559526256,5
11,38.9944,2.317277074499293,5
12,38.950399999999995,2.068299456074966,5
13,38.8318,2.0141800713938176,5
14,38.8258,1.8024167553593153,5
15,38.7418,1.4628442705906888,5
16,38.747,1.3589051475360607,5
17,38.5242,1.401210105587308,5
18,38.429,1.3625087155684563,5
19,38.3318,1.244192653892475,5
20,38.300599999999996,1.0825240135904612,5
21,38.229600000000005,1.252779405961002,5
22,38.1906,1.290319433318744,5
23,38.0556,1.7178262543109535,5
24,37.7902,1.6435168876528168,5
25,37.753,1.5323478717314816,5
26,37.5974,1.3404367347995203,5
27,37.391,1.6390420372888537,5
28,37.426,1.516549636510457,5
29,37.388799999999996,1.18954687171208,5
30,37.373400000000004,1.5152542492928363,5
